Sample,Site,Micro,Hab,order,HabSeason,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
F17_BFR1,Beasley Flats,1,Riffle,1,Riffle Fall,0,0.46,0.07511,33.4,0,3,2,7,4,12,34,25,10,3,0
F17_BFR2,Beasley Flats,1,Riffle,1,Riffle Fall,0,0.46,0.07511,33.4,0,3,2,7,4,12,34,25,10,3,0
F17_BFR3,Beasley Flats,1,Riffle,1,Riffle Fall,0,0.46,0.07511,33.4,0,3,2,7,4,12,34,25,10,3,0
F17_CHR1,Childs,2,Riffle,1,Riffle Fall,0,0.7,0.12694,34.9,0,0,1,2,2,2,12,20,47,14,0
F17_CHR2,Childs,2,Riffle,1,Riffle Fall,0,0.7,0.12694,34.9,0,0,1,2,2,2,12,20,47,14,0
F17_CHR5,Childs,2,Riffle,1,Riffle Fall,0,0.7,0.12694,34.9,0,0,1,2,2,2,12,20,47,14,0
F17_SBR1,Sheep Bridge,3,Riffle,1,Riffle Fall,0,0.92,0.03375,40.4,2,0,4,1,0,5,23,32,19,14,0
F17_SBR2,Sheep Bridge,3,Riffle,1,Riffle Fall,0,0.92,0.03375,40.4,2,0,4,1,0,5,23,32,19,14,0
F17_SBR5,Sheep Bridge,3,Riffle,1,Riffle Fall,0,0.92,0.03375,40.4,2,0,4,1,0,5,23,32,19,14,0
F17_BFP1,Beasley Flats,4,Pool,2,Pool Fall,0,0.05,0.00326,62.9,73,7,1,5,4,2,3,2,3,0,0
F17_BFP3,Beasley Flats,4,Pool,2,Pool Fall,0,0.05,0.00326,62.9,73,7,1,5,4,2,3,2,3,0,0
F17_BFP4,Beasley Flats,4,Pool,2,Pool Fall,0,0.05,0.00326,62.9,73,7,1,5,4,2,3,2,3,0,0
F17_CHP2,Childs,5,Pool,2,Pool Fall,0,0.01,0.0002,35.6,26,31,26,10,2,3,2,0,0,0,0
F17_CHP3,Childs,5,Pool,2,Pool Fall,0,0.01,0.0002,35.6,26,31,26,10,2,3,2,0,0,0,0
F17_CHP5,Childs,5,Pool,2,Pool Fall,0,0.01,0.0002,35.6,26,31,26,10,2,3,2,0,0,0,0
F17_SBP1,Sheep Bridge,6,Pool,2,Pool Fall,0,0,0.00002,63.3,1,3,7,11,8,8,33,25,4,0,0
F17_SBP3,Sheep Bridge,6,Pool,2,Pool Fall,0,0,0.00002,63.3,1,3,7,11,8,8,33,25,4,0,0
F17_SBP4,Sheep Bridge,6,Pool,2,Pool Fall,0,0,0.00002,63.3,1,3,7,11,8,8,33,25,4,0,0
F17_BFN1,Beasley Flats,7,Run,3,Run Fall,0,0.54,0.03548,70.8,2,0,4,1,0,5,23,32,19,14,0
F17_BFN2,Beasley Flats,7,Run,3,Run Fall,0,0.54,0.03548,70.8,2,0,4,1,0,5,23,32,19,14,0
F17_BFN5,Beasley Flats,7,Run,3,Run Fall,0,0.54,0.03548,70.8,2,0,4,1,0,5,23,32,19,14,0
F17_CHN1,Childs,8,Run,3,Run Fall,0,0.84,0.04298,72.9,0,1,2,8,22,28,18,9,9,3,0
