Sample,Site,Micro,Hab,order,HabSeason,Season,Flow_Average,flw_var,dpth_avg,Sand,Very_Fine_Gravel,Fine_Gravel,Med_Gravel,Course_Gravel,Very_Course_Gravel,Small_Cobble,Large_Cobble,Small_Boulder,Medium_Boulder,Large_Boulder
S18_BFR1,Beasley Flats,10,Riffle,4,Riffle Spring,1,0.64,0.11222,26.2,4,2,5,10,5,11,23,23,15,2,0
S18_BFR2,Beasley Flats,10,Riffle,4,Riffle Spring,1,0.64,0.11222,26.2,4,2,5,10,5,11,23,23,15,2,0
S18_BFR3,Beasley Flats,10,Riffle,4,Riffle Spring,1,0.64,0.11222,26.2,4,2,5,10,5,11,23,23,15,2,0
S18_CHR1,Childs,11,Riffle,4,Riffle Spring,1,0.55,0.13821,35.7,0,0,3,5,6,5,8,26,29,17,1
S18_CHR2,Childs,11,Riffle,4,Riffle Spring,1,0.55,0.13821,35.7,0,0,3,5,6,5,8,26,29,17,1
S18_CHR5,Childs,11,Riffle,4,Riffle Spring,1,0.55,0.13821,35.7,0,0,3,5,6,5,8,26,29,17,1
S18_SBR1,Sheep Bridge,12,Riffle,4,Riffle Spring,1,0.6,0.13778,35.9,0,1,2,2,2,4,17,27,30,13,2
S18_SBR2,Sheep Bridge,12,Riffle,4,Riffle Spring,1,0.6,0.13778,35.9,0,1,2,2,2,4,17,27,30,13,2
S18_SBR5,Sheep Bridge,12,Riffle,4,Riffle Spring,1,0.6,0.13778,35.9,0,1,2,2,2,4,17,27,30,13,2
S18_BFP1,Beasley Flats,13,Pool,5,Pool Spring,1,0.01,0.00033,49,71,4,2,1,2,2,2,8,8,0,0
S18_BFP2,Beasley Flats,13,Pool,5,Pool Spring,1,0.01,0.00033,49,71,4,2,1,2,2,2,8,8,0,0
S18_BFP4,Beasley Flats,13,Pool,5,Pool Spring,1,0.01,0.00033,49,71,4,2,1,2,2,2,8,8,0,0
S18_CHP2,Childs,14,Pool,5,Pool Spring,1,0,0.00003,30.4,63,8,12,10,2,3,1,1,0,0,0
S18_CHP3,Childs,14,Pool,5,Pool Spring,1,0,0.00003,30.4,63,8,12,10,2,3,1,1,0,0,0
S18_CHP5,Childs,14,Pool,5,Pool Spring,1,0,0.00003,30.4,63,8,12,10,2,3,1,1,0,0,0
S18_SBP1,Sheep Bridge,15,Pool,5,Pool Spring,1,0.02,0.00041,63.5,32,5,5,9,6,3,13,20,8,0,0
S18_SBP3,Sheep Bridge,15,Pool,5,Pool Spring,1,0.02,0.00041,63.5,32,5,5,9,6,3,13,20,8,0,0
S18_SBP4,Sheep Bridge,15,Pool,5,Pool Spring,1,0.02,0.00041,63.5,32,5,5,9,6,3,13,20,8,0,0
S18_BFN1,Beasley Flats,16,Run,6,Run Spring,1,0.55,0.03292,73.2,5,2,6,4,3,5,24,39,12,0,0
S18_BFN4,Beasley Flats,16,Run,6,Run Spring,1,0.55,0.03292,73.2,5,2,6,4,3,5,24,39,12,0,0
S18_BFN5,Beasley Flats,16,Run,6,Run Spring,1,0.55,0.03292,73.2,5,2,6,4,3,5,24,39,12,0,0
S18_CHN1,Childs,17,Run,6,Run Spring,1,0.77,0.02411,69.7,0,3,2,7,21,29,16,12,9,1,0
S18_CHN2,Childs,17,Run,6,Run Spring,1,0.77,0.02411,69.7,0,3,2,7,21,29,16,12,9,1,0
S18_CHN3,Childs,17,Run,6,Run Spring,1,0.77,0.02411,69.7,0,3,2,7,21,29,16,12,9,1,0
S18_SBN1,Sheep Bridge,18,Run,6,Run Spring,1,0.32,0.00145,64.7,12,10,10,3,8,1,16,30,10,0,0
S18_SBN3,Sheep Bridge,18,Run,6,Run Spring,1,0.32,0.00145,64.7,12,10,10,3,8,1,16,30,10,0,0
S18_SBN5,Sheep Bridge,18,Run,6,Run Spring,1,0.32,0.00145,64.7,12,10,10,3,8,1,16,30,10,0,0
