Sample,Site,Hab,HabSeason,order,micro.season,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
F17_BFR1,Beasley Flats,Riffle,Riffle Fall,Riffle Fall,1,0,0.46,0.07511,33.4,0,3,2,7,4,12,34,25,10,3,0
F17_BFR2,Beasley Flats,Riffle,Riffle Fall,Riffle Fall,1,0,0.46,0.07511,33.4,0,3,2,7,4,12,34,25,10,3,0
F17_BFR3,Beasley Flats,Riffle,Riffle Fall,Riffle Fall,1,0,0.46,0.07511,33.4,0,3,2,7,4,12,34,25,10,3,0
F17_BFP1,Beasley Flats,Pool,Pool Fall,Pool Fall,2,0,0.05,0.00326,62.9,73,7,1,5,4,2,3,2,3,0,0
F17_BFP3,Beasley Flats,Pool,Pool Fall,Pool Fall,2,0,0.05,0.00326,62.9,73,7,1,5,4,2,3,2,3,0,0
F17_BFP4,Beasley Flats,Pool,Pool Fall,Pool Fall,2,0,0.05,0.00326,62.9,73,7,1,5,4,2,3,2,3,0,0
F17_BFN1,Beasley Flats,Run,Run Fall,Run Fall,3,0,0.54,0.03548,70.8,2,0,4,1,0,5,23,32,19,14,0
F17_BFN2,Beasley Flats,Run,Run Fall,Run Fall,3,0,0.54,0.03548,70.8,2,0,4,1,0,5,23,32,19,14,0
F17_BFN5,Beasley Flats,Run,Run Fall,Run Fall,3,0,0.54,0.03548,70.8,2,0,4,1,0,5,23,32,19,14,0
F17_CHR1,Childs,Riffle,Riffle Fall,Riffle Fall,1,0,0.7,0.12694,34.9,0,0,1,2,2,2,12,20,47,14,0
F17_CHR2,Childs,Riffle,Riffle Fall,Riffle Fall,1,0,0.7,0.12694,34.9,0,0,1,2,2,2,12,20,47,14,0
F17_CHR5,Childs,Riffle,Riffle Fall,Riffle Fall,1,0,0.7,0.12694,34.9,0,0,1,2,2,2,12,20,47,14,0
F17_CHP2,Childs,Pool,Pool Fall,Pool Fall,2,0,0.01,0.0002,35.6,26,31,26,10,2,3,2,0,0,0,0
F17_CHP3,Childs,Pool,Pool Fall,Pool Fall,2,0,0.01,0.0002,35.6,26,31,26,10,2,3,2,0,0,0,0
F17_CHP5,Childs,Pool,Pool Fall,Pool Fall,2,0,0.01,0.0002,35.6,26,31,26,10,2,3,2,0,0,0,0
F17_CHN1,Childs,Run,Run Fall,Run Fall,3,0,0.84,0.04298,72.9,0,1,2,8,22,28,18,9,9,3,0
F17_CHN2,Childs,Run,Run Fall,Run Fall,3,0,0.84,0.04298,72.9,0,1,2,8,22,28,18,9,9,3,0
F17_CHN3,Childs,Run,Run Fall,Run Fall,3,0,0.84,0.04298,72.9,0,1,2,8,22,28,18,9,9,3,0
F17_SBR1,Sheep Bridge,Riffle,Riffle Fall,Riffle Fall,1,0,0.92,0.03375,40.4,2,0,4,1,0,5,23,32,19,14,0
F17_SBR2,Sheep Bridge,Riffle,Riffle Fall,Riffle Fall,1,0,0.92,0.03375,40.4,2,0,4,1,0,5,23,32,19,14,0
F17_SBR5,Sheep Bridge,Riffle,Riffle Fall,Riffle Fall,1,0,0.92,0.03375,40.4,2,0,4,1,0,5,23,32,19,14,0
F17_SBP1,Sheep Bridge,Pool,Pool Fall,Pool Fall,2,0,0,0.00002,63.3,1,3,7,11,8,8,33,25,4,0,0
F17_SBP3,Sheep Bridge,Pool,Pool Fall,Pool Fall,2,0,0,0.00002,63.3,1,3,7,11,8,8,33,25,4,0,0
F17_SBP4,Sheep Bridge,Pool,Pool Fall,Pool Fall,2,0,0,0.00002,63.3,1,3,7,11,8,8,33,25,4,0,0
F17_SBN1,Sheep Bridge,Run,Run Fall,Run Fall,3,0,0.4,0.00539,74.4,0,10,7,3,2,9,29,31,7,2,0
F17_SBN3,Sheep Bridge,Run,Run Fall,Run Fall,3,0,0.4,0.00539,74.4,0,10,7,3,2,9,29,31,7,2,0
F17_SBN5,Sheep Bridge,Run,Run Fall,Run Fall,3,0,0.4,0.00539,74.4,0,10,7,3,2,9,29,31,7,2,0
S18_BFR1,Beasley Flats,Riffle,Riffle Spring,Riffle Spring,4,1,0.64,0.11222,26.2,4,2,5,10,5,11,23,23,15,2,0
S18_BFR2,Beasley Flats,Riffle,Riffle Spring,Riffle Spring,4,1,0.64,0.11222,26.2,4,2,5,10,5,11,23,23,15,2,0
