Sample,CRCR,GAGA,HYHY,CDRPOA,CDYAGL,CDYSTA,CDYTHA,CDYTHL,CELDUL,CELDUA,CELHEL,CELHEA,CELMIA,CELMIL,CELNAA,CELNEA,CELNEL,CGYGYL,CHAPEA,CHAPEL,CHYBEL,CHYHYL,CHYTRA,CHYTRL,CHYPAL,CLULUA,CLULUL,CPSPSL,DECDAD,DCEATL,DCECEL,DCESPP,DCHIRL,DCHIRP,DCUANL,DCUCUL,DCUCSL,DCUURL,DCUSPP,DDIDIL,DDISPP,DEMHEL,DEMMEL,DEMSPP,DEPSEL,DPSMAL,DPSSPP,DSISPL,DSISPP,DSTMYL,DSTSPP,DTAHYL,DTISPP,EBAACL,EBAAPL,EBAABL,EBABAL,EBABTL,EBACAL,EBACBL,EBACEL,EBACLL,EBAFAL,EBAPAL,ECACAL,EEPEPL,EEPSEL,EHEEOL,EHELEL,EHERHL,EISISL,ELEASL,ELELEL,ELETRL,ELEPAL,ELETHL,ELETVL,GCYCOR,GLYMSP,GPHYSP,GPLFER,HBEABA,HCOGRX,HCOPAX,HCOTRC,HGEAQU,HGEGER,HGEMET,HGETRE,HHYHYD,HMAMAC,HMEMES,HNAAMB,HNERAN,HNOBUE,HNONOT,HVEMIC,HVERHA,LCRELL,LCRPEL,MCOCOL,OAEANX,OCAHET,OCOARG,OCOCEN,OCOISC,OGOERP,OGOPRO,OLEARC,OLIBRC,OLIPAL,PCAMES,PPEISO,TBREOL,TCAPHL,TGLPCL,TGLSPP,THEHEL,THYCHL,THYHYL,THYSML,THYPUP,THYDTL,THYHYLP,THYLEL,THYMNL,THYMEL,THYOCL,THYOXL,THYSPP,TLENCL,TLEOEL,TLESPP,TLILIL,TODMAL,TPHCHL,TPOPOL,TPOPYL
F17_BFR1,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,315,0,0,390,60,0,15,0,0,0,0,0,0,0,0,0,0,0,135,1140,495,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
F17_BFR2,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,142.5,0,0,337.5,217.5,0,30,0,0,247.5,0,0,0,0,0,0,0,0,15,375,210,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,8.5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,90,600,0,0,0,0,7.5,0,30,0,30,0,0,0,0,0,0,0,0
F17_BFR3,0,30,0,0,0,0,0,0,0,0,0,15,15,0,0,30,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,120,0,0,120,285,0,0,0,0,645,0,0,0,0,0,0,0,0,60,975,105,0,0,0,345,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1620,0,45,0,0,30,0,45,0,15,15,0,0,0,0,0,0,0
F17_BFP1,0,0,1700,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,260,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,110,0,0,0,170,0,0,0,0,0,0,0,0,0,0,110,0,0,0,20,0,100,0,2,0,340,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F17_BFP3,0,0,95,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,15,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,5,125,0,15,5,0,30,260,0,0,0,0,0,0,0,0,0,0,135,0,0,0,130,0,10,0,0,0,200,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F17_BFP4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,635,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,90,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F17_BFN1,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.9,0,0,0,0,0,0,0,0,0,25.8,571.9,0,0,0,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,12.9,0,21.5,0,0,0,0,0,0,4.3,12.9,0,0,0,0,0,0,0
F17_BFN2,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,150,0,0,216,0,0,6,0,0,798,0,0,0,0,0,0,0,0,60,396,570,0,0,0,54,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
F17_BFN5,0,0,6,0,0,0,0,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,52,0,0,78,0,0,12,0,0,289,0,0,0,0,0,0,0,0,53,332,54,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,1,9,0,0,0,0,0,18,0,0,0,0,0,1,0,0,1,14,72,0,40,0,0,1,0,6,0,3,1,1,0,0,0,0,0,0
F17_CHR1,0,0,0,0,0,0,0,0,0,0,0,0,22.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,127.5,0,0,322.5,742.5,0,22.5,0,0,435,0,0,0,0,0,0,0,0,60,585,67.5,0,0,7.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,15,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,30,75,0,75,0,0,7.5,0,0,0,22.5,0,0,0,0,0,0,0,0
